127.0.0.1 - - [24/Mar/2021:13:50:22 +0900] "GET / HTTP/1.1" 200 6039
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:50:23 +0900] "GET / HTTP/1.1" 200 6039
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:50:23 +0900] "GET /resources/main/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:50:23 +0900] "GET /resources/main/css/one-page-wonder.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:50:23 +0900] "GET /resources/main/img/img_main_cont1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:50:23 +0900] "GET /resources/main/img/img_main_cont2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:50:23 +0900] "GET /resources/main/img/img_main_cont3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:50:23 +0900] "GET /resources/main/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:50:23 +0900] "GET /resources/main/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:50:29 +0900] "GET / HTTP/1.1" 200 6039
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:50:29 +0900] "GET /resources/main/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:50:29 +0900] "GET /resources/main/css/one-page-wonder.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:50:29 +0900] "GET /resources/main/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:50:29 +0900] "GET /resources/main/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:50:29 +0900] "GET /resources/main/img/img_main_cont1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:50:29 +0900] "GET /resources/main/img/img_main_cont2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:50:29 +0900] "GET /resources/main/img/img_main_cont3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:13:50:35 +0900] "GET /test HTTP/1.1" 404 721
